b,t,pi_plus_base,pi_plus_new,pi_plus_delta
12,9,2.0,2.0,0.0
12,10,2.0,436.42274457549206,434.42274457549206
12,11,2.0,2.0,0.0
12,12,2.0,2.0,0.0
12,13,2.0,2.0,0.0
12,14,2.0,2.0,0.0
12,15,2.0,2.0,0.0
12,16,2.0,2.0,0.0
12,17,2.0,2.0,0.0
12,18,2.0,2.0,0.0
12,19,2.0,2.0,0.0
12,20,2.0,2.0,0.0
12,21,2.0,2.0,0.0
12,22,2.0,2.0,0.0
12,23,2.0,2.0,0.0
13,0,2.0,2.0,0.0
13,1,2.0,2.0,0.0
13,2,2.0,2.0,0.0
13,3,2.0,2.0,0.0
13,4,2.0,2.0,0.0
13,5,2.0,2.0,0.0
13,6,2.0,2.0,0.0
13,7,2.0,2.0,0.0
13,8,2.0,2.0,0.0
13,9,2.0,2.0,0.0
13,10,2.0,500.0,498.0
13,11,2.0,2.0,0.0
13,12,2.0,2.0,0.0
13,13,2.0,2.0,0.0
13,14,2.0,2.0,0.0
13,15,2.0,2.0,0.0
13,16,2.0,2.0,0.0
13,17,2.0,2.0,0.0
13,18,2.0,2.0,0.0
13,19,2.0,2.0,0.0
13,20,2.0,2.0,0.0
13,21,2.0,2.0,0.0
13,22,2.0,2.0,0.0
13,23,2.0,2.0,0.0
14,0,2.0,2.0,0.0
14,1,2.0,2.0,0.0
14,2,2.0,2.0,0.0
14,3,2.0,2.0,0.0
14,4,2.0,500.0,498.0
14,5,2.0,2.0,0.0
14,6,2.0,2.0,0.0
14,7,2.0,2.0,0.0
14,8,2.0,2.0,0.0
14,9,2.0,2.0,0.0
14,10,2.0,2.0,0.0
14,11,2.0,-500.0,-502.0
14,12,2.0,-256.2596691188503,-258.2596691188503
14,13,2.0,-157.14054791824816,-159.14054791824816
14,14,2.0,2.0,0.0
14,15,2.0,-500.0,-502.0
14,16,2.0,2.0,0.0
14,17,2.0,2.0,0.0
14,18,2.0,2.0,0.0
14,19,2.0,2.0,0.0
14,20,2.0,2.0,0.0
14,21,2.0,2.0,0.0
14,22,2.0,2.0,0.0
14,23,2.0,2.0,0.0
15,0,2.0,2.0,0.0
15,1,2.0,2.0,0.0
15,2,2.0,2.0,0.0
15,3,2.0,2.0,0.0
15,4,2.0,2.0,0.0
15,5,2.0,2.0,0.0
15,6,2.0,2.0,0.0
15,7,2.0,2.0,0.0
15,8,2.0,2.0,0.0
15,9,2.0,2.0,0.0
15,10,2.0,2.0,0.0
15,11,2.0,2.0,0.0
15,12,2.0,2.0,0.0
15,13,2.0,2.0,0.0
15,14,2.0,2.0,0.0
15,15,2.0,2.0,0.0
15,16,2.0,2.0,0.0
15,17,2.0,2.0,0.0
15,18,2.0,2.0,0.0
15,19,2.0,2.0,0.0
15,20,2.0,2.0,0.0
15,21,2.0,2.0,0.0
15,22,2.0,2.0,0.0
15,23,2.0,2.0,0.0
16,0,2.0,2.0,0.0
16,1,2.0,2.0,0.0
16,2,2.0,2.0,0.0
16,3,2.0,2.0,0.0
16,4,2.0,2.0,0.0
16,5,2.0,2.0,0.0
16,6,2.0,2.0,0.0
16,7,2.0,2.0,0.0
16,8,2.0,2.0,0.0
16,9,2.0,2.0,0.0
16,10,2.0,2.0,0.0
16,11,2.0,2.0,0.0
16,12,2.0,2.0,0.0
16,13,2.0,2.0,0.0
16,14,2.0,2.0,0.0
16,15,2.0,2.0,0.0
16,16,2.0,2.0,0.0
16,17,2.0,2.0,0.0
16,18,2.0,2.0,0.0
16,19,2.0,2.0,0.0
16,20,2.0,2.0,0.0
16,21,2.0,2.0,0.0
16,22,2.0,2.0,0.0
16,23,2.0,2.0,0.0
17,0,2.0,2.0,0.0
17,1,2.0,2.0,0.0
17,2,2.0,2.0,0.0
17,3,2.0,2.0,0.0
17,4,2.0,2.0,0.0
17,5,2.0,2.0,0.0
17,6,2.0,2.0,0.0
17,7,2.0,2.0,0.0
17,8,2.0,2.0,0.0
17,9,2.0,-500.0,-502.0
17,10,2.0,2.0,0.0
17,11,2.0,2.0,0.0
17,12,2.0,2.0,0.0
17,13,2.0,2.0,0.0
17,14,2.0,-500.0,-502.0
17,15,2.0,-389.0259804150204,-391.0259804150204
17,16,2.0,2.0,0.0
17,17,2.0,2.0,0.0
17,18,2.0,2.0,0.0
17,19,2.0,2.0,0.0
17,20,2.0,2.0,0.0
17,21,2.0,2.0,0.0
17,22,2.0,412.7966939981919,410.7966939981919
17,23,2.0,2.0,0.0
18,0,2.0,2.0,0.0
18,1,2.0,2.0,0.0
18,2,2.0,2.0,0.0
18,3,2.0,2.0,0.0
18,4,2.0,2.0,0.0
18,5,2.0,2.0,0.0
18,6,2.0,2.0,0.0
18,7,2.0,2.0,0.0
18,8,2.0,2.0,0.0
18,9,2.0,2.0,0.0
18,10,2.0,500.0,498.0
18,11,2.0,2.0,0.0
18,12,2.0,2.0,0.0
18,13,2.0,2.0,0.0
18,14,2.0,2.0,0.0
18,15,2.0,2.0,0.0
18,16,2.0,2.0,0.0
18,17,2.0,2.0,0.0
18,18,2.0,2.0,0.0
18,19,2.0,2.0,0.0
18,20,2.0,2.0,0.0
18,21,2.0,2.0,0.0
18,22,2.0,2.0,0.0
18,23,2.0,2.0,0.0
19,0,2.0,2.0,0.0
19,1,2.0,2.0,0.0
19,2,2.0,2.0,0.0
19,3,2.0,2.0,0.0
19,4,2.0,2.0,0.0
19,5,2.0,2.0,0.0
19,6,2.0,2.0,0.0
19,7,2.0,2.0,0.0
19,8,2.0,2.0,0.0
19,9,2.0,2.0,0.0
19,10,2.0,2.0,0.0
19,11,2.0,2.0,0.0
19,12,2.0,2.0,0.0
19,13,2.0,2.0,0.0
19,14,2.0,2.0,0.0
19,15,2.0,2.0,0.0
19,16,2.0,2.0,0.0
19,17,2.0,2.0,0.0
19,18,2.0,2.0,0.0
19,19,2.0,2.0,0.0
19,20,2.0,2.0,0.0
19,21,2.0,2.0,0.0
19,22,2.0,2.0,0.0
19,23,2.0,2.0,0.0
20,0,2.0,2.0,0.0
20,1,2.0,2.0,0.0
20,2,2.0,2.0,0.0
20,3,2.0,2.0,0.0
20,4,2.0,2.0,0.0
20,5,2.0,2.0,0.0
20,6,2.0,2.0,0.0
20,7,2.0,2.0,0.0
20,8,2.0,2.0,0.0
20,9,2.0,2.0,0.0
20,10,2.0,2.0,0.0
20,11,2.0,2.0,0.0
20,12,2.0,2.0,0.0
20,13,2.0,2.0,0.0
20,14,2.0,2.0,0.0
20,15,2.0,2.0,0.0
20,16,2.0,2.0,0.0
20,17,2.0,2.0,0.0
20,18,2.0,2.0,0.0
20,19,2.0,2.0,0.0
20,20,2.0,2.0,0.0
20,21,2.0,2.0,0.0
20,22,2.0,2.0,0.0
20,23,2.0,2.0,0.0
21,0,2.0,2.0,0.0
21,1,2.0,2.0,0.0
21,2,2.0,2.0,0.0
21,3,2.0,2.0,0.0
21,4,2.0,2.0,0.0
21,5,2.0,2.0,0.0
21,6,2.0,2.0,0.0
21,7,2.0,2.0,0.0
21,8,2.0,2.0,0.0
21,9,2.0,2.0,0.0
21,10,2.0,2.0,0.0
21,11,2.0,2.0,0.0
21,12,2.0,2.0,0.0
21,13,2.0,2.0,0.0
21,14,2.0,2.0,0.0
21,15,2.0,2.0,0.0
21,16,2.0,2.0,0.0
21,17,2.0,2.0,0.0
21,18,2.0,2.0,0.0
21,19,2.0,2.0,0.0
21,20,2.0,2.0,0.0
21,21,2.0,2.0,0.0
21,22,2.0,2.0,0.0
21,23,2.0,2.0,0.0
22,0,2.0,2.0,0.0
22,1,2.0,2.0,0.0
22,2,2.0,2.0,0.0
22,3,2.0,2.0,0.0
22,4,2.0,2.0,0.0
22,5,2.0,2.0,0.0
22,6,2.0,2.0,0.0
22,7,2.0,2.0,0.0
22,8,2.0,2.0,0.0
22,9,2.0,2.0,0.0
22,10,2.0,2.0,0.0
22,11,2.0,2.0,0.0
22,12,2.0,2.0,0.0
22,13,2.0,2.0,0.0
22,14,2.0,2.0,0.0
22,15,2.0,2.0,0.0
22,16,2.0,2.0,0.0
22,17,2.0,2.0,0.0
22,18,2.0,2.0,0.0
22,19,2.0,2.0,0.0
22,20,2.0,2.0,0.0
22,21,2.0,2.0,0.0
22,22,2.0,2.0,0.0
22,23,2.0,2.0,0.0
23,0,2.0,2.0,0.0
23,1,2.0,2.0,0.0
23,2,2.0,2.0,0.0
23,3,2.0,2.0,0.0
23,4,2.0,2.0,0.0
23,5,2.0,2.0,0.0
23,6,2.0,2.0,0.0
23,7,2.0,2.0,0.0
23,8,2.0,2.0,0.0
23,9,2.0,2.0,0.0
23,10,2.0,2.0,0.0
23,11,2.0,2.0,0.0
23,12,2.0,2.0,0.0
23,13,2.0,2.0,0.0
23,14,2.0,2.0,0.0
23,15,2.0,2.0,0.0
23,16,2.0,2.0,0.0
23,17,2.0,2.0,0.0
23,18,2.0,2.0,0.0
23,19,2.0,2.0,0.0
23,20,2.0,2.0,0.0
23,21,2.0,2.0,0.0
23,22,2.0,2.0,0.0
23,23,2.0,2.0,0.0
